x,y
-62.374,-14.444
-62.764,-12.482
-62.945,-10.497
-62.751,-8.508
-62.574,-6.516
-62.558,-4.517
-62.556,-2.517
-62.461,-0.520
-62.373,1.478
-62.333,3.478
-62.241,5.475
-62.137,7.472
-62.083,9.472
-61.960,11.468
-61.862,13.465
-61.735,15.461
-61.599,17.456
-61.542,19.454
-62.882,20.782
-64.477,21.989
-65.367,23.514
-65.168,25.504
-64.916,27.488
-64.610,29.464
-64.282,31.437
-63.908,33.402
-63.458,35.350
-62.938,37.281
-62.315,39.181
-61.577,41.039
-60.662,42.816
-59.511,44.443
-58.127,45.886
-56.658,47.242
-55.121,48.522
-53.487,49.673
-51.707,50.579
-49.822,51.239
-47.870,51.667
-45.886,51.918
-43.897,52.129
-41.908,52.338
-39.917,52.526
-37.925,52.710
-35.931,52.853
-33.931,52.889
-31.931,52.885
-29.931,52.867
-27.932,52.838
-25.932,52.815
-23.932,52.815
-21.932,52.815
-19.932,52.801
-17.932,52.764
-15.934,52.688
-13.935,52.609
-11.937,52.603
-9.938,52.672
-7.938,52.701
-5.940,52.774
-3.940,52.795
-1.940,52.781
0.060,52.820
2.059,52.860
4.058,52.812
6.056,52.720
8.054,52.634
10.053,52.560
12.053,52.560
14.053,52.559
16.053,52.556
18.053,52.556
20.053,52.556
22.053,52.557
24.053,52.557
26.053,52.557
28.053,52.557
30.053,52.557
32.053,52.557
33.911,52.819
35.022,54.398
36.634,53.363
38.634,53.363
40.634,53.363
42.634,53.363
44.634,53.363
46.634,53.363
48.634,53.363
50.634,53.365
52.590,53.023
54.469,52.346
56.448,52.181
58.411,52.533
60.372,52.908
62.368,52.891
64.360,52.716
66.358,52.649
68.358,52.684
70.357,52.731
72.357,52.775
74.354,52.869
76.354,52.899
78.354,52.876
80.354,52.854
82.352,52.796
84.350,52.709
86.347,52.802
88.335,53.012
90.332,53.090
92.331,53.007
94.330,52.949
96.329,52.974
98.329,52.946
100.327,52.864
102.323,52.747
104.319,52.618
106.053,53.329
107.389,52.374
109.211,52.192
111.076,52.909
112.974,53.460
114.954,53.219
116.933,52.941
118.931,52.909
120.929,53.004
122.928,53.059
124.928,53.047
126.928,53.020
128.928,53.011
130.927,52.959
132.925,52.883
134.925,52.867
136.925,52.889
138.925,52.904
140.925,52.903
142.925,52.896
144.925,52.894
146.925,52.895
148.925,52.897
150.925,52.897
152.925,52.896
154.925,52.896
156.925,52.896
158.925,52.896
160.925,52.896
162.925,52.896
164.925,52.896
166.925,52.896
168.925,52.896
170.925,52.896
172.925,52.896
174.925,52.896
176.794,53.169
178.184,54.439
180.184,54.410
182.181,54.306
184.177,54.187
186.177,54.139
188.176,54.157
190.176,54.134
192.170,53.983
194.167,53.877
196.167,53.840
198.163,53.725
200.159,53.604
202.152,53.429
204.141,53.220
206.120,52.937
208.090,52.589
210.052,52.201
212.007,51.780
213.960,51.349
215.917,50.935
217.817,50.328
219.415,49.176
220.418,47.450
221.134,45.584
221.834,43.711
222.599,41.863
223.319,39.997
223.928,38.093
224.482,36.171
225.027,34.247
225.576,32.323
226.098,30.393
226.563,28.448
227.025,26.502
227.517,24.563
227.978,22.617
228.391,20.660
228.779,18.698
229.159,16.735
229.529,14.769
229.867,12.798
230.122,10.815
230.256,8.820
230.213,6.821
229.988,4.836
229.524,2.892
228.753,1.050
227.759,-0.684
226.537,-2.263
224.977,-3.490
223.086,-4.105
221.094,-4.257
219.096,-4.358
217.102,-4.513
215.110,-4.692
213.112,-4.764
211.114,-4.701
209.125,-4.509
207.132,-4.346
205.148,-4.103
203.211,-3.617
201.374,-2.831
199.612,-1.885
197.901,-0.852
196.297,0.342
194.731,1.585
193.044,2.655
191.192,3.394
189.237,3.807
187.251,4.045
185.262,4.249
183.269,4.421
181.272,4.519
179.275,4.623
177.277,4.718
175.690,3.679
173.721,3.563
171.721,3.571
169.724,3.682
167.728,3.804
165.729,3.862
163.730,3.832
161.730,3.802
159.730,3.763
157.733,3.662
155.737,3.543
153.737,3.515
151.745,3.663
149.766,3.949
147.770,4.050
145.770,4.081
143.770,4.164
141.762,4.212
139.740,4.190
137.709,4.114
135.676,4.024
133.642,3.933
131.608,3.850
129.582,3.832
127.604,4.046
125.777,4.695
124.262,5.861
123.204,7.462
122.635,9.334
122.419,11.330
122.359,13.361
122.333,15.396
122.309,17.432
122.285,19.467
122.261,21.503
122.238,23.539
122.214,25.574
122.190,27.610
122.166,29.645
122.142,31.681
122.123,33.719
122.124,35.771
122.153,37.842
122.199,39.925
122.248,42.012
122.275,44.097
122.172,46.159
121.736,48.127
120.796,49.856
119.348,51.170
117.534,51.964
115.527,52.304
113.454,52.391
111.367,52.400
109.280,52.400
107.193,52.400
105.106,52.400
103.018,52.400
100.931,52.400
98.846,52.417
96.768,52.510
94.704,52.742
92.689,52.928
90.691,53.024
88.708,53.035
86.729,53.013
84.750,52.987
82.770,52.961
80.791,52.934
78.812,52.908
76.833,52.881
74.854,52.855
72.874,52.828
70.895,52.802
68.916,52.776
66.937,52.749
64.957,52.723
62.978,52.696
60.999,52.670
59.020,52.644
57.040,52.617
55.061,52.587
53.090,52.507
51.165,52.236
49.385,51.582
47.898,50.452
46.846,48.909
46.274,47.098
46.073,45.163
46.053,43.189
46.078,41.210
46.107,39.231
46.136,37.252
46.165,35.272
46.194,33.293
46.223,31.314
46.252,29.335
46.281,27.356
46.317,25.375
46.377,23.391
46.475,21.400
46.600,19.406
46.749,17.411
46.820,15.413
46.778,13.414
46.499,11.428
46.129,9.436
45.511,7.501
44.455,5.798
42.915,4.539
41.024,3.832
38.962,3.589
36.846,3.591
34.722,3.661
32.598,3.738
30.482,3.797
28.399,3.791
26.366,3.692
24.365,3.539
